testDataTimeStamps,i,a,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-08,30,3,5.235948018547184,4.0,1.3389770306764213,0.09674892041482634
2020-04-08,30,4,6.017346416498963,4.0,2.0173464164989645,0.12289556744784828
2020-04-08,30,5,6.204137453270344,4.0,2.2041374532703424,0.15025570677495698
2020-04-08,30,6,5.700052556394004,4.0,1.7000525563940063,0.09792649607898406
2020-04-09,1,1,5.538688855791526,6.0,1.7840535168989744,0.15968306763982032
2020-04-09,1,2,5.674779470177473,6.0,1.247471537874526,0.15046556770532127
2020-04-09,1,3,5.184066428081559,6.0,1.1693167815587768,0.0999122901532736
2020-04-09,1,4,4.995997335532558,6.0,1.666213231503351,0.22928516035502566
2020-04-09,1,5,5.505190110145737,6.0,0.8788894578228521,0.11570769060339818
2020-04-09,1,6,5.710799501201876,6.0,1.9439280739560143,0.15689491001322295
2020-04-09,3,1,5.412414959118546,6.0,0.8320404934532906,0.1199448496630356
2020-04-09,3,2,5.7478503757998265,6.0,1.299259559313454,0.11759613042759734
2020-04-09,3,3,4.719276925978684,6.0,1.9882399133308852,0.2078026858548419
2020-04-09,3,4,5.077443673555962,6.0,1.2838205398160745,0.1642458804928239
2020-04-09,3,5,5.467880797296242,6.0,1.0743148381814032,0.11035685232099221
2020-04-09,3,6,5.034739791096977,6.0,1.545894366337342,0.11398441103098408
2020-04-09,5,1,4.958422425346236,6.0,1.372748976594929,0.11248429753166277
2020-04-09,5,2,5.861734626445677,6.0,0.8773383882883912,0.11120172109862908
2020-04-09,5,3,4.511979000928919,6.0,1.4880209990710798,0.11881837078429308
2020-04-09,5,4,4.627707742999057,6.0,1.5259419806247068,0.12874528443639632
2020-04-09,5,5,5.051405373745148,6.0,1.1410403307801547,0.09741056701700883
2020-04-09,5,6,5.282428026442233,6.0,1.819740068188528,0.1798454920760163
2020-04-09,7,1,5.808486753149531,6.0,0.8986675024957976,0.1106175771202483
2020-04-09,7,2,5.3073700302934395,6.0,1.1571898133890175,0.10790303619310955
2020-04-09,7,3,4.885843797200398,6.0,1.3022975413991686,0.11359036888401534
2020-04-09,7,4,5.615933642676264,6.0,0.9567705122042154,0.1245315795490254
2020-04-09,7,5,5.647066059156776,6.0,0.9666905463782711,0.12012855776866335
2020-04-09,7,6,4.928572269706827,6.0,1.1473353566516562,0.08843759699804017
2020-04-09,9,1,5.180371556363303,6.0,0.9963579729084621,0.13619677620063664
2020-04-09,9,2,4.917447579903181,6.0,1.585107306848081,0.15700316469998338
2020-04-09,9,3,4.676665140499374,6.0,1.4577560255211963,0.13361145033169472
2020-04-09,9,4,4.9100679054226095,6.0,1.3011485365843565,0.12275185197532172
2020-04-09,9,5,4.029801855888275,6.0,2.004775352552023,0.3276369034809712
2020-04-09,9,6,5.039084107126513,6.0,1.491506704650095,0.12860287561337833
2020-04-09,12,1,5.111979167123959,6.0,1.1521992111999262,0.12785715162691308
2020-04-09,12,2,4.841713419915683,6.0,1.158286580084316,0.13015939949385488
2020-04-09,12,3,5.089392791317934,6.0,1.5253126107280872,0.09274429977712964
2020-04-09,12,4,5.132813636082627,6.0,1.0509063547616302,0.13630508620102771
2020-04-09,12,5,5.765882928932758,6.0,1.1408035969819599,0.18599137811043912
2020-04-09,12,6,5.351361289672848,6.0,1.4001673884885553,0.16789332397253426
2020-04-09,15,1,4.769456886409511,6.0,1.2318523478246646,0.21012232656980562
2020-04-09,15,2,5.706819371170359,6.0,0.9327735472230121,0.1453187788783716
2020-04-09,15,3,5.785786351469337,6.0,2.0404190445118853,0.21010686786235316
2020-04-09,15,4,4.921700463578499,6.0,1.2018094926233625,0.116556836285577
2020-04-09,15,5,5.7291140262428115,6.0,1.1516010412275377,0.165668135164476
2020-04-09,15,6,5.972314838386438,6.0,1.1807083082486487,0.11924483328931082
2020-04-09,30,1,5.103648880147964,6.0,1.0033125128067808,0.11215553521695473
2020-04-09,30,2,5.023562426598698,6.0,1.0272687020621503,0.13596757388931552
2020-04-09,30,3,4.5642662630962505,6.0,1.4357337369037486,0.1002432359552067
2020-04-09,30,4,4.821257874206246,6.0,1.3411988586119648,0.11830053496000215
2020-04-09,30,5,5.242720896912427,6.0,1.0064321875269466,0.10864241642216396
2020-04-09,30,6,4.514500702704607,6.0,1.5180332420465035,0.13358397715644685
2020-04-10,1,1,5.423289591059747,4.0,1.4232895910597474,0.10827035269535377
2020-04-10,1,2,4.627042207899932,4.0,1.5831973503406118,0.20810027214017035
2020-04-10,1,3,5.262835746356826,4.0,1.2861117800645459,0.13211493036752314
2020-04-10,1,4,4.817454917481442,4.0,1.0119140878232313,0.1586291467385164
2020-04-10,1,5,5.139549492025305,4.0,1.1600329742038396,0.12607976868665113
2020-04-10,1,6,5.008529430423843,4.0,1.5442871195206356,0.13460655422791917
2020-04-10,3,1,4.310633615773755,4.0,0.909982508540906,0.19235791542601102
2020-04-10,3,2,5.300834245912814,4.0,1.3008342459128133,0.11145303602961361
2020-04-10,3,3,5.190885738021343,4.0,1.7597908578477226,0.16083642645998067
2020-04-10,3,4,6.339183807938895,4.0,2.3391838079388956,0.14222608731504358
2020-04-10,3,5,4.764854321659728,4.0,1.320431769512706,0.14175229485759588
2020-04-10,3,6,4.652856948415359,4.0,0.8775296124327079,0.13346187361593592
2020-04-10,5,1,5.358058320662784,4.0,1.456820003021504,0.14978094462195204
2020-04-10,5,2,5.294260531564698,4.0,1.719402934023797,0.15798327344683946
2020-04-10,5,3,5.287529095221929,4.0,1.2875290952219283,0.15041142697492096
2020-04-10,5,4,4.927080811799251,4.0,1.298700318784634,0.12318336980351671
2020-04-10,5,5,5.677390606561289,4.0,1.708944555691566,0.10456273326944932
2020-04-10,5,6,5.952410980628897,4.0,2.0973762339157953,0.16179492979210033
2020-04-10,7,1,5.825496106845534,4.0,1.8254961068455353,0.11430221550615913
2020-04-10,7,2,5.099398851793432,4.0,1.2514886070020537,0.11526561341267708
2020-04-10,7,3,5.130203931719644,4.0,1.249147106130256,0.093550339788736
2020-04-10,7,4,4.753062631934766,4.0,1.9851503441580358,0.14610051813598401
2020-04-10,7,5,4.65817451205565,4.0,0.9438316366119847,0.17814693763348013
2020-04-10,7,6,5.5662339891768156,4.0,1.5662339891768164,0.09184104241300942
2020-04-10,9,1,4.711396504984523,4.0,1.696526253158824,0.20681295478019346
2020-04-10,9,2,5.351427403077354,4.0,1.3514274030773539,0.12165081142805548
2020-04-10,9,3,4.8651793752516275,4.0,1.1702228816772924,0.12597491420825216
2020-04-10,9,4,4.814944907332141,4.0,1.0750062642078004,0.11043839853598167
2020-04-10,9,5,5.995755799190457,4.0,2.143043626824222,0.16990757620533023
2020-04-10,9,6,4.973360685869633,4.0,1.6399568920322942,0.12745957160958882
2020-04-10,12,1,4.891839124948382,4.0,1.2939080823830789,0.1536185549317746
2020-04-10,12,2,4.819092752174175,4.0,0.9562668142284529,0.1293837579953554
2020-04-10,12,3,4.653881243208234,4.0,1.524205477220645,0.13262400357428328
